genotype,substrate,batch,mu,mu_error,log2_PL_flux_norm,C4_0_mean,C4_0_std,C4_0OH_mean,C4_0OH_std,C4_0E_mean,C4_0E_std,C6_0_mean,C6_0_std,C6_0OH_mean,C6_0OH_std,C6_0E_mean,C6_0E_std,C8_0_mean,C8_0_std,C8_0OH_mean,C8_0OH_std,C8_0E_mean,C8_0E_std,C10_0_mean,C10_0_std,C10_0OH_mean,C10_0OH_std,C10_0E_mean,C10_0E_std,C10_1Z_mean,C10_1Z_std,C12_0_mean,C12_0_std,C12_0OH_mean,C12_0OH_std,C12_0E_mean,C12_0E_std,C12_1Z_mean,C12_1Z_std,C12_1Z_OH_mean,C12_1Z_OH_std,C14_0_mean,C14_0_std,C14_0OH_mean,C14_0OH_std,C14_0E_mean,C14_0E_std,C14_1Z_mean,C14_1Z_std,C14_1Z_OH_mean,C14_1Z_OH_std,C16_0_mean,C16_0_std,C16_0OH_mean,C16_0OH_std,C16_0E_mean,C16_0E_std,C16_1Z_mean,C16_1Z_std,C16_1Z_OH_mean,C16_1Z_OH_std,C18_0_mean,C18_0_std,C18_1Z_mean,C18_1Z_std,C18_1Z_OH_mean,C18_1Z_OH_std,C20_1Z_mean,C20_1Z_std,Malonyl_mean,Malonyl_std,ACP_free_mean,ACP_free_std,ACP_total_mean,ACP_total_std
NCM3722_1,acetate,162,0.44322528150822,0.0171900152360857,-0.53865502488306,0.046831927292206,0.0257954873798962,-0.383788831963814,0.0203259532042371,-0.287263987485256,0.389015344457304,-0.212631588639083,0.0634515298470215,-0.261753291993914,0.108230446152559,-0.411475202293901,0.129294933383334,-0.109741600518295,0.0133710187518421,-0.447124008706254,0.0379012117194072,-0.49765087466395,0.119049476651719,-0.146584283111899,0.0811926616497512,-0.425762304923804,0.0140784615038878,-0.744194745306254,0.3118871034377,-0.676895118963321,0.330533686687302,-0.027037955420171,0.0605706901295757,-0.410184750020373,0.115396380485224,-0.468653975230672,0.201589885335474,-0.194054047574726,0.0544763180662765,-0.488483693389643,0.0870095929827115,0.307161480862239,0.00965295746891622,-0.274287279589432,0.0886835416085889,-0.278655843230172,0.209200524588965,-0.0399872457315943,0.0912484770863501,-0.412484504110187,0.154903703666639,0.331286943634684,0.0041466270707372,-0.219172930103643,0.135247303783926,-0.25291042526346,0.767927042953742,-0.0608131026775295,0.069807244839985,-0.502765834195151,0.0938678240136569,0.710710150122837,0.282589011111538,0.310205377859953,0.0445360968604133,-0.637664859030885,0.382312453752308,-0.0456346171763766,0.386868743054836,-0.746003555127538,0.0667251686025046,0.0818251462818739,0.0420450505386997,-0.0711978037746909,0.0343419882741089
NCM3722_1,glucose,162,0.990621243469882,0.00699017652080479,0.238304144157387,0.168625945318143,0.0823791758096529,0.20146275339827,0.0732420682520768,-0.325833293743803,0.145206179242884,0.0597386738231752,0.0305652081706236,0.147827593149943,0.0447240827635112,0.151664101814902,0.223287609172012,0.00539462915184339,0.0497274418986338,0.209398794774763,0.00652838108392241,-0.0218155092033681,0.197644774910076,0.0156446128041515,0.0913344790961861,0.207248309378849,0.0244741692713081,0.0731082810614631,0.12338832756286,0.318971312982533,0.159691538350326,-0.0303522600479205,0.0250873044461716,0.219306619111794,0.0928914078953997,-0.115577682253442,0.0791377813562686,0.0470894891255916,0.195887575885657,0.207628793374764,0.0735755853165327,-0.0534969238869214,0.0236357585077409,0.130363143020323,0.10010493275518,-0.0916812086121222,1.04508162220233,0.0472220641685826,0.0509937510045202,0.0239625674582905,0.121578453861556,-0.216090588605491,0.0852293563624677,0.154221745908188,0.148828426978456,-0.189639778069001,0.578107477260409,0.305362221910015,0.0234266818982544,0.0859087407738288,0.137456761493676,-0.138126489469019,0.207471885649216,0.0826577404238064,0.037905319308753,0.515144339698051,0.239938946585773,0.222329560966752,0.12725082892643,0.129417283036834,0.0575639759391399,-0.325072763563652,0.0473177986038818,-0.0618191645294316,0.030655662406721
NCM3722_1,glucoseCAA,162,1.33263347211208,0.0161030137455809,0.489238631957491,0.0300862887214781,0.0429295747674287,0.399819579906638,0.0380085063239762,0.839894594090571,0.333084178931345,0.309136519904411,0.0266821370689232,0.356550537655494,0.0187264131108105,0.58867619764321,0.28489437023177,0.269915531016995,0.0389804352176469,0.467436696267676,0.0372056871873083,0.604796048989335,0.129114128346932,0.338873357974266,0.179034588481441,0.560240760394341,0.016894835769141,0.772374919111307,0.177019753992825,0.19669556219384,0.0991280707620541,0.241646395863227,0.107574079068095,0.477211276611575,0.0773795090026714,0.747453851648248,0.37918415220902,0.185840088838071,0.0672539457729494,0.422306852916617,0.07231210616283,-0.0675101140700383,0.0693174306098375,0.313895188565872,0.0544555588154356,0.692384947095655,0.884237185698047,0.135441840564752,0.0205662023727938,0.20643212750506,0.112756913039512,-0.113298447113902,0.0377519095826666,0.328085000815222,0.233849326092226,0.335400701503937,0.241224205179523,-0.00892866935125181,0.0922584696760819,0.166855858091301,0.250529522456,-0.496362708099611,0.142437598787093,0.0277327705137197,0.0958947155211848,0.265524324066691,0.0273276869021133,-0.164751053883934,0.319988458006986,0.494804697462273,0.109739410594571,-0.32930843221814,0.0264425702499475,0.0160265356068319,0.00367660474568418
NCM3722_1,glycerol,162,0.675700534598965,0.00778565544797093,-0.276432817150324,-0.165323670135616,0.0858714938882985,0.0591199519253815,0.130439373026082,-0.237435805260391,0.449990695299553,-0.26088382471057,0.0178201875280051,-0.0378598895074981,0.0175598741170356,0.265699617285895,0.0582596179529096,-0.279686211225787,0.0588446621562512,-0.101635771397237,0.0326611365931071,0.346798894802619,0.0902738815672488,-0.305915726288137,0.13194600050696,-0.212188199656388,0.0503570911406439,0.234998964187518,0.087475485558732,-0.194997221863041,0.151376781399255,-0.284922811858941,0.103034228414909,-0.177827857613384,0.12085286358632,0.0385209798519564,0.218197612886092,-0.0566525621385118,0.113149066877339,0.0737518007477164,0.118999081951099,-0.390246940068151,0.0697551788455113,-0.15929499036743,0.0405337688211833,0.133252418528585,0.112317615892173,-0.049046620610188,0.0749340029653267,0.0764338719682263,0.0319916526693462,0.517046861880206,0.0668391826506395,-0.266426678315643,0.246367788568589,-0.321812167750483,0.811239157905423,-0.0313746893444338,0.0982777715565002,0.218164548251376,0.0908525708828971,0.197859739653602,0.081455837296634,-0.028323401960472,0.023869700077588,0.0446264516429488,0.196926099521427,-0.638526822700714,0.209645251395764,0.159319376594141,0.0275021990893899,0.124383910501491,0.0265420435765244,0.0949254851670997,0.0143903796163576
NCM3722_1,malate,162,0.726912263279789,0.00681466218215976,-0.0940383274859663,-0.140755679295283,0.0156306497699932,-0.220642104013062,0.0555555419454536,-0.527136132562689,0.233118987598819,-0.0459232679455625,0.030232316225287,-0.219472798802992,0.0879281777002446,-0.457704273006956,0.106094309214176,-0.0207687043979432,0.0722060538029647,-0.162806836312346,0.0650886657397179,-0.53798029470754,0.374317267879268,-0.0373019507978906,0.107055688053294,-0.159567437977284,0.0793043623113582,-0.669942396735789,0.349627965061128,0.0158300072412655,0.205147630869086,-0.0655886343732535,0.133073220199616,-0.158701076111909,0.23389859626431,-0.640329434870285,0.376303968622866,-0.293371501446183,0.0453072463400692,-0.117079700893371,0.253982855112456,-0.0291787670828924,0.0862352664403705,-0.0274543587994028,0.0995052905580324,-1.12147946829659,0.680366492479259,-0.124780673147862,0.144585842938241,0.0891561425334059,0.0247822945762403,-0.305470512634568,0.0251486310363563,-0.113555398711623,0.0891894001981922,-0.0745578392480674,0.445041325619676,-0.180811355797321,0.0623608590545687,-0.0281864769249629,0.0714466643777055,-0.381147004874797,0.410619085976092,-0.185688171394825,0.0714130931206398,-0.165374788477419,0.19503614486345,0.463399235905294,0.342498883094692,-0.20136404298088,0.0389279760322273,0.0721389434744358,0.0400843360486716,-0.0327318288877816,0.0382196628442816
NCM3722_1,succinate,162,0.727729112456129,0.0196632411556769,-0.0502753636986282,0.0282235997807643,0.0651786390829905,-0.220215820124438,0.0982413201797017,-0.0655280460186203,0.244125441551543,0.0710481694377886,0.0785928167118769,-0.0868341844771857,0.014314737597931,-0.577086280009427,0.042276280238529,0.0718026461234805,0.0859645613554141,-0.153447394885221,0.118028009762025,-0.363154718967871,0.396276556654094,0.0341109248199379,0.0728743285522399,-0.207411528021364,0.0597241306477176,-0.331279967970781,0.258420919894492,0.0918229921646352,0.116311452507019,0.0986517830958695,0.129206622421153,-0.158869937306869,0.0806989043806556,-0.215810297857868,0.75045778227685,0.205977697952918,0.283685342957729,-0.317800818605569,0.0481360172272256,0.134044501181174,0.103483388698717,-0.0704511297915447,0.0955541409802576,-0.742660350003532,0.71425984375319,0.00741721648150212,0.0824578116171079,-0.0766372056006818,0.157172745279479,-0.488524161026511,0.103166977289372,-0.0170062933294801,0.113645343536297,-0.0249182962164352,0.452712454510778,-0.0797054239709681,0.0572126145810273,-0.0833193171535998,0.176746936783695,-0.422724327277384,0.522737199463444,-0.292634884129244,0.14173310072463,-0.41346942277594,0.315654203388818,-0.279068399905323,0.620340248043763,-0.136086845723315,0.0412254317322251,0.26885231149304,0.0349997608599972,0.0461706962317444,0.0379010603104912
NCM3722_2,acetate,20200108,0.426156120721667,0.00874195074566877,-0.701658410540027,-0.0395637861635485,0.117101666519111,-0.603053845296766,0.393553520840952,-0.680155696207016,0.951682384536186,-0.300360672360199,0.13024254743683,-0.330316291718807,0.148992322334582,-0.263595893117674,0.274766733724905,-0.0957831867245307,0.259627988452171,-0.482540249770229,0.118682159558182,-0.48756326475465,0.472615223779392,-0.106882182586743,0.704976377454533,-0.510696390818244,0.143034232130242,-1.07274991635029,0.0812006602206739,-0.936582937379132,0.743567612786626,0.106323892826647,0.179269875199801,-0.575798673105447,0.252477743133855,-0.610708915872049,0.239546541361934,-0.172957836013484,0.334443685750038,-0.593975960702652,0.141372239560129,0.352379018957409,0.0675143706741466,-0.193376598011964,0.153122626590603,0.333842621477459,2.03834328724232,-0.00419589266250173,0.121519944412891,-0.217060029581555,0.279829087059694,0.290403314203816,0.0601589075347138,-0.641587257177543,0.229865753896538,-0.58333765650041,0.604353781710179,-0.115209764268268,0.154741731469331,-0.161433553969671,0.250733098327946,0.399854106443402,0.101791320318513,0.215735827592543,0.102219025733541,-0.687092028707363,0.694238293882536,-2.00426412401797,0,-0.960749680370863,0.0128555469799602,0.154523810307721,0.0241460687542653,-0.0449636864210673,0.00990844713771131
NCM3722_2,glucose,20200108,1.01585662714411,0.00858116421497105,0.178365167399811,0.158423758690518,0.0613898151461497,0.332296503473925,0.0484446395699456,-0.230939407170881,0.454224584347139,0.200911292951292,0.295544575962942,0.127025500013691,0.182973706923125,-0.0742877489908264,0.269055000296139,0.110091920488966,0.0707362231756694,0.183641539291369,0.0528499181722915,0.0204131460576427,0.626027120049001,0.0994610710591986,0.339858601992583,0.242230044892657,0.0676706130517544,-0.0955644147471147,0.5404073812335,-0.28718587167224,0.152977692465185,0.243132313707313,0.0932699780607794,0.151842970157677,0.160487348714597,0.235148513349677,0.561609371980165,0.083899261842255,0.542740477346264,-0.113629176721215,0.0662563582619388,0.0846581466727724,0.225549058843523,0.123696936936264,0.0241013859219437,-0.675896724682298,0.319102537769921,0.165212968374119,0.0317072810945677,-0.102548499103116,0.211276797749057,-0.172125043887622,0.309378074854626,0.441924604992692,0.200973803007962,0.0962171547667738,0.596890715034605,0.147016504248237,0.0248705857998397,0.190733444210205,0.209112130408961,-0.578155556179938,0.23590127335468,-0.00825197381835537,0.0843071896254958,-0.229229820548193,0.265707355238398,,,0.00198236076678154,0.0743532185576494,-0.346637062457228,0.0889348807179634,-0.0555108164275484,0.0152590173038154
NCM3722_2,glucoseCAA,20200108,1.4175936583208,0.00863224692929648,0.680534381394748,-0.0117357933661275,0.115169707899705,0.424676271449592,0.0313499106666271,0.475900912275736,0.428926255292031,0.374866209920761,0.0287998999601896,0.258076096008507,0.218382294987159,0.757885825087231,0.125909898255829,0.385307617131183,0.210153090444026,0.363213238580519,0.00667532322922525,0.430884039259189,0.154733387624035,0.284390495242042,0.116004739459212,0.565217798876391,0.0192338978367255,0.537366660036122,0.886166624786108,0.722635921065859,0.810220136409015,0.249860395027563,0.335758150869637,0.47979784911682,0.180685995014474,-0.634336175922015,0.704147580278296,0.155780549344103,0.277389016380762,0.430086362609216,0.272612495647062,0.0857893406086124,0.159508194411287,0.400653084331242,0.13740849791083,-1.14391336785977,1.0919244418964,-0.0929832455359586,0.292116804337079,0.130175245571876,0.292870823561459,-0.0926243796882897,0.139722165427208,0.219400790088839,0.95730645677448,0.647343633362787,0.657770662478847,-0.0175719821761321,0.274891248722293,0.0388829689910053,0.110430023194342,-0.322891420262573,0.69980408333849,-0.0885723867412863,0.159262698772295,0.107265624325528,1.32313518934244,-0.134836512141958,0.22763753894932,0.37872904545033,0.180813772779138,-0.23109868963219,0.0275714161458179,0.0309990026446182,0.0372559227042901
NCM3722_2,glycerol,20200108,0.632897976870432,0.00753274715467004,-0.252962560807688,-0.169799000526385,0.070543235705789,-0.150580366227849,0.0859028778166234,-0.0298757973421937,0.644193547000715,-0.271869788530083,0.0613561261986361,-0.00306684304050864,0.0908009220189207,-0.141064693225577,0.26852219244302,-0.373131461709648,0.0768278718204361,-0.110883572246867,0.149347114341943,-0.0759326960716747,0.337521837537797,-0.723458222824183,0.572237043017392,-0.258843458341376,0.0519381268859183,0.250083850758828,0.504845301974492,-0.416721202766967,0.218569154584549,-0.429521777578034,0.135884904000588,-0.204351140950957,0.0448610094052564,0.178372296530446,1.68636082849845,0.0201407154655966,0.481198308906378,0.0233606366285328,0.148484190146395,-0.378054804799336,0.149191562838775,-0.273066201887698,0.098784306277389,0.371193647650973,0.258961933213221,0.0497889965476781,0.627900381954983,0.0346904014021124,0.205560713461576,0.492055874086096,0.0912509548975873,-0.123413502826053,0.233498369762646,-1.03522576607284,0.318906767712335,0.0168872870401978,0.0344396291855141,0.0421050842487445,0.264510506381561,-0.106420635648107,0.473591838616467,-0.0243415036647981,0.223993542049426,0.0527690178460868,0.576989006202666,-1.44383857163766,0.335119957085648,0.13117084565265,0.0969132361717683,0.121696666245897,0.0813124468200744,0.0741282943126735,0.0294219253317461
NCM3722_2,malate,20200108,0.724409697146498,0.0172513401661219,-0.0436264006203428,-0.03349241306203,0.135641115645301,-0.0344492651962743,0.224449336346991,0.0526106501794637,0.053492422255077,-0.00171152814074759,0.0402127615299876,-0.0637555236061715,0.263369752850211,-0.46193555209779,0.182951907860963,-0.0434487222137764,0.167935869892103,0.0582386207097624,0.137605614197437,-0.494326428656811,0.179773945152557,0.0512619885257062,0.174671118713542,-0.0435808122232099,0.0732772531444245,-0.103887832321771,0.288575581788742,0.0976668146199705,0.308154228337306,-0.124519835553262,0.319557228862413,-0.0388546373363976,0.316183914387715,-0.310270651422476,0.428878813246515,-0.0397576164564255,0.140179740659826,0.214599038088764,0.259372718440497,-0.171770931083637,0.0854406235165583,-0.0121099562261016,0.201602650921184,-0.814606814854846,1.12632779869515,0.125039972331848,0.354525970757706,-0.0260278665639766,0.168547857983012,-0.250777860713066,0.228781231256367,-0.363286698233205,0.698024752877457,-0.656543939121315,0.512359500735493,-0.0288240210152724,0.409664726747581,-0.0991409536699931,0.385025073524552,0.0329501072529874,0.665291428093796,-0.0385845899242243,0.0983333601513037,0.139443845135066,0.220563712899562,0.842961506784737,1.02697624590961,-0.045276355694095,0.0866904899880443,0.061364465032903,0.0256312610057298,0.0106542656523123,0.0227304990512942
NCM3722_2,succinate,20200108,0.678084448655919,0.0113955871094714,-0.249108317810586,0.0618330020030652,0.0685796947057597,-0.259237772519488,0.0848958108364152,-0.308550826992973,0.781340331228256,-0.171657434550734,0.228725585123707,-0.108725227581775,0.178098806392632,-0.309452623402013,0.593101990707509,-0.134251829847249,0.0430138464387516,-0.177024461085015,0.112764114174339,0.176582533911245,0.31661718509023,-0.0731306083836744,0.584589783330834,-0.277664121566479,0.0522180398951806,-0.474723581975845,0.195679720346708,-0.162471490280098,0.456053753451524,-0.25365621305766,0.210121864140667,-0.137466607335941,0.525349952539488,-0.443050156330827,0.490834970994796,-0.279293274991084,0.231175838429139,-0.236180988487302,0.197735271142768,-0.111123853384871,0.0577740632662975,-0.188299050066094,0.167635760096565,-0.343972677227318,0.689684546894415,-0.48762857200891,0.047570192859969,0.0817046725956874,0.180532824666684,-0.562062358642507,0.0678773197502392,-0.221825900107798,0.236878345456496,0.199228381492974,0.962910464572387,-0.0829818693347839,0.121578497130935,-0.137966980921667,0.27574470558906,0.041870860818764,0.54648782856119,-0.137418177574989,0.392942576281316,-0.322907468639491,0.939416859107356,-0.60039679310148,,0.148302991193611,0.0929936891003021,0.15088988263194,0.154964529270112,-0.021415181322247,0.0713523137316613
